code,description,category
T50.A23D,"Poisoning by mixed bacterial vaccines without a pertussis component, assault, subsequent encounter",General
T50.A24A,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, initial encounter",General
T50.A24D,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, subsequent encounter",General
T50.A25A,"Adverse effect of mixed bacterial vaccines without a pertussis component, initial encounter",General
T50.A25D,"Adverse effect of mixed bacterial vaccines without a pertussis component, subsequent encounter",General
T71.221A,"Asphyxiation due to being trapped in a car trunk, accidental, initial encounter",General
T71.221D,"Asphyxiation due to being trapped in a car trunk, accidental, subsequent encounter",General
T71.223A,"Asphyxiation due to being trapped in a car trunk, assault, initial encounter",General
T71.223D,"Asphyxiation due to being trapped in a car trunk, assault, subsequent encounter",General
T71.224A,"Asphyxiation due to being trapped in a car trunk, undetermined, initial encounter",General
T71.224D,"Asphyxiation due to being trapped in a car trunk, undetermined, subsequent encounter",General
T71.231A,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, initial encounter",General
T71.231D,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, subsequent encounter",General
T71.233A,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, initial encounter",General
T71.233D,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, subsequent encounter",General
T71.234A,"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, initial encounter",General
T71.234D,"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, subsequent encounter",General
T81.60XS,"Unspecified acute reaction to foreign substance accidentally left during a procedure, sequela",General
T81.61XS,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, sequela",General
T81.69XS,"Other acute reaction to foreign substance accidentally left during a procedure, sequela",General
T81.710A,"Complication of mesenteric artery following a procedure, not elsewhere classified, initial encounter",General
T81.710D,"Complication of mesenteric artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.711A,"Complication of renal artery following a procedure, not elsewhere classified, initial encounter",General
T81.711D,"Complication of renal artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.718A,"Complication of other artery following a procedure, not elsewhere classified, initial encounter",General
T81.718D,"Complication of other artery following a procedure, not elsewhere classified, subsequent encounter",General
T81.719A,"Complication of unspecified artery following a procedure, not elsewhere classified, initial encounter",General
T81.719D,"Complication of unspecified artery following a procedure, not elsewhere classified, subsequent encounter",General
V43.44XS,"Person boarding or alighting a car injured in collision with van, sequela",General
V48.4XXS,"Person boarding or alighting a car injured in noncollision transport accident, sequela",General
W23.2XXS,"Caught, crushed, jammed or pinched between a moving and stationary object, sequela",General
W44.B0XA,"Plastic object unspecified, entering into or through a natural orifice, initial encounter",General
W44.B0XD,"Plastic object unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.B9XA,"Other plastic object entering into or through a natural orifice, initial encounter",General
W44.B9XD,"Other plastic object entering into or through a natural orifice, subsequent encounter",General
W44.D0XS,"Magnetic metal object unspecified, entering into or through a natural orifice, sequela",General
W44.D1XA,"Magnetic metal bead entering into or through a natural orifice, initial encounter",General
W44.D1XD,"Magnetic metal bead entering into or through a natural orifice, subsequent encounter",General
W44.D2XA,"Magnetic metal coin entering into or through a natural orifice, initial encounter",General
W44.D2XD,"Magnetic metal coin entering into or through a natural orifice, subsequent encounter",General
W44.D3XA,"Magnetic metal toy entering into or through a natural orifice, initial encounter",General
W44.D3XD,"Magnetic metal toy entering into or through a natural orifice, subsequent encounter",General
W44.D4XA,"Magnetic metal jewelry entering into or through a natural orifice, initial encounter",General
W44.D4XD,"Magnetic metal jewelry entering into or through a natural orifice, subsequent encounter",General
W44.D9XS,"Other magnetic metal objects entering into or through a natural orifice, sequela",General
W44.E1XS,"Non-magnetic metal bead entering into or through a natural orifice, sequela",General
W44.E2XS,"Non-magnetic metal coin entering into or through a natural orifice, sequela",General
W44.E3XS,"Non-magnetic metal toy entering into or through a natural orifice, sequela",General
W44.E4XS,"Non-magnetic metal jewelry entering into or through a natural orifice, sequela",General
W44.G9XS,"Other non-organic objects entering into or through a natural orifice, sequela",General
W44.H0XS,"Other sharp object unspecified, entering into or through a natural orifice, sequela",General
W44.H2XS,"Knife, sword or dagger entering into or through a natural orifice, sequela",General
W44.H9XA,"Other sharp object entering into or through a natural orifice, initial encounter",General
W44.H9XD,"Other sharp object entering into or through a natural orifice, subsequent encounter",General
W44.8XXA,"Other foreign body entering into or through a natural orifice, initial encounter",General
W44.8XXD,"Other foreign body entering into or through a natural orifice, subsequent encounter",General
W44.9XXA,"Unspecified foreign body entering into or through a natural orifice, initial encounter",General
W44.9XXD,"Unspecified foreign body entering into or through a natural orifice, subsequent encounter",General
Y30.XXXA,"Falling, jumping or pushed from a high place, undetermined intent, initial encounter",General
Y30.XXXD,"Falling, jumping or pushed from a high place, undetermined intent, subsequent encounter",General
Y35.831S,"Legal intervention involving a conducted energy device, law enforcement official injured, sequela",General
Y35.839A,"Legal intervention involving a conducted energy device, unspecified person injured, initial encounter",General
Y35.839D,"Legal intervention involving a conducted energy device, unspecified person injured, subsequent encounter",General
Z11.3,Encounter for screening for infections with a predominantly sexual mode of transmission,General
D78.01,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen,General
D78.11,Accidental puncture and laceration of the spleen during a procedure on the spleen,General
L76.01,Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a dermatologic procedure,General
L76.11,Accidental puncture and laceration of skin and subcutaneous tissue during a dermatologic procedure,General
O98.311,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester",General
O98.312,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester",General
O98.313,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester",General
O98.319,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, unspecified trimester",General
T50.A11S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), sequela",General
T50.A13A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, initial encounter",General
T50.A13D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, subsequent encounter",General
T50.A14A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, initial encounter",General
T50.A14D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, subsequent encounter",General
T50.A15A,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, initial encounter",General
T50.A15D,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, subsequent encounter",General
T50.A21A,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), initial encounter",General
T50.A21D,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), subsequent encounter",General
T50.A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela",General
T71.222S,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela",General
T71.232S,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela",General
T81.60XA,"Unspecified acute reaction to foreign substance accidentally left during a procedure, initial encounter",General
T81.60XD,"Unspecified acute reaction to foreign substance accidentally left during a procedure, subsequent encounter",General
T81.61XA,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, initial encounter",General
T81.61XD,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, subsequent encounter",General
T81.69XA,"Other acute reaction to foreign substance accidentally left during a procedure, initial encounter",General
T81.69XD,"Other acute reaction to foreign substance accidentally left during a procedure, subsequent encounter",General
V18.3XXS,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, sequela",General
V41.4XXS,"Person boarding or alighting a car injured in collision with pedal cycle, sequela",General
V43.44XA,"Person boarding or alighting a car injured in collision with van, initial encounter",General
V43.44XD,"Person boarding or alighting a car injured in collision with van, subsequent encounter",General
V48.4XXA,"Person boarding or alighting a car injured in noncollision transport accident, initial encounter",General
V48.4XXD,"Person boarding or alighting a car injured in noncollision transport accident, subsequent encounter",General
W23.2XXA,"Caught, crushed, jammed or pinched between a moving and stationary object, initial encounter",General
W23.2XXD,"Caught, crushed, jammed or pinched between a moving and stationary object, subsequent encounter",General
W44.B3XS,"Plastic toy and toy part entering into or through a natural orifice, sequela",General
W44.D0XA,"Magnetic metal object unspecified, entering into or through a natural orifice, initial encounter",General
W44.D0XD,"Magnetic metal object unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.D9XA,"Other magnetic metal objects entering into or through a natural orifice, initial encounter",General
W44.D9XD,"Other magnetic metal objects entering into or through a natural orifice, subsequent encounter",General
W44.E0XS,"Non-magnetic metal object unspecified, entering into or through a natural orifice, sequela",General
W44.E1XA,"Non-magnetic metal bead entering into or through a natural orifice, initial encounter",General
W44.E1XD,"Non-magnetic metal bead entering into or through a natural orifice, subsequent encounter",General
W44.E2XA,"Non-magnetic metal coin entering into or through a natural orifice, initial encounter",General
W44.E2XD,"Non-magnetic metal coin entering into or through a natural orifice, subsequent encounter",General
W44.E3XA,"Non-magnetic metal toy entering into or through a natural orifice, initial encounter",General
W44.E3XD,"Non-magnetic metal toy entering into or through a natural orifice, subsequent encounter",General
W44.E4XA,"Non-magnetic metal jewelry entering into or through a natural orifice, initial encounter",General
W44.E4XD,"Non-magnetic metal jewelry entering into or through a natural orifice, subsequent encounter",General
W44.E9XS,"Other non-magnetic metal objects entering into or through a natural orifice, sequela",General
W44.G0XS,"Other non-organic objects unspecified, entering into or through a natural orifice, sequela",General
W44.G3XS,"Combination metal and plastic jewelry entering into or through a natural orifice, sequela",General
W44.G9XA,"Other non-organic objects entering into or through a natural orifice, initial encounter",General
W44.G9XD,"Other non-organic objects entering into or through a natural orifice, subsequent encounter",General
W44.H0XA,"Other sharp object unspecified, entering into or through a natural orifice, initial encounter",General
W44.H0XD,"Other sharp object unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.H2XA,"Knife, sword or dagger entering into or through a natural orifice, initial encounter",General
W44.H2XD,"Knife, sword or dagger entering into or through a natural orifice, subsequent encounter",General
Y35.831A,"Legal intervention involving a conducted energy device, law enforcement official injured, initial encounter",General
Y35.831D,"Legal intervention involving a conducted energy device, law enforcement official injured, subsequent encounter",General
Y93.69,"Activity, other involving other sports and athletics played as a team or group",General
G97.32,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating other procedure,General
I97.42,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure,General
I97.52,Accidental puncture and laceration of a circulatory system organ or structure during other procedure,General
I97.618,Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure,General
I97.638,Postprocedural hematoma of a circulatory system organ or structure following other circulatory system procedure,General
I97.648,Postprocedural seroma of a circulatory system organ or structure following other circulatory system procedure,General
J95.62,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating other procedure,General
J95.72,Accidental puncture and laceration of a respiratory system organ or structure during other procedure,General
K91.62,Intraoperative hemorrhage and hematoma of a digestive system organ or structure complicating other procedure,General
K91.72,Accidental puncture and laceration of a digestive system organ or structure during other procedure,General
N99.62,Intraoperative hemorrhage and hematoma of a genitourinary system organ or structure complicating other procedure,General
N99.72,Accidental puncture and laceration of a genitourinary system organ or structure during other procedure,General
T50.A11A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), initial encounter",General
T50.A11D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), subsequent encounter",General
T50.A12S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela",General
T50.A22A,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter",General
T50.A22D,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, subsequent encounter",General
T71.222A,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter",General
T71.222D,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, subsequent encounter",General
T71.232A,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter",General
T71.232D,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, subsequent encounter",General
V18.3XXA,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, initial encounter",General
V18.3XXD,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, subsequent encounter",General
V40.4XXS,"Person boarding or alighting a car injured in collision with pedestrian or animal, sequela",General
V41.4XXA,"Person boarding or alighting a car injured in collision with pedal cycle, initial encounter",General
V41.4XXD,"Person boarding or alighting a car injured in collision with pedal cycle, subsequent encounter",General
V43.41XS,"Person boarding or alighting a car injured in collision with sport utility vehicle, sequela",General
V43.42XS,"Person boarding or alighting a car injured in collision with other type car, sequela",General
V43.43XS,"Person boarding or alighting a car injured in collision with pick-up truck, sequela",General
V46.4XXS,"Person boarding or alighting a car injured in collision with other nonmotor vehicle, sequela",General
V68.4XXS,"Person boarding or alighting a heavy transport vehicle injured in noncollision transport accident, sequela",General
W44.B3XA,"Plastic toy and toy part entering into or through a natural orifice, initial encounter",General
W44.B3XD,"Plastic toy and toy part entering into or through a natural orifice, subsequent encounter",General
W44.E0XA,"Non-magnetic metal object unspecified, entering into or through a natural orifice, initial encounter",General
W44.E0XD,"Non-magnetic metal object unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.E9XA,"Other non-magnetic metal objects entering into or through a natural orifice, initial encounter",General
W44.E9XD,"Other non-magnetic metal objects entering into or through a natural orifice, subsequent encounter",General
W44.G0XA,"Other non-organic objects unspecified, entering into or through a natural orifice, initial encounter",General
W44.G0XD,"Other non-organic objects unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.G3XA,"Combination metal and plastic jewelry entering into or through a natural orifice, initial encounter",General
W44.G3XD,"Combination metal and plastic jewelry entering into or through a natural orifice, subsequent encounter",General
Z20.2,Contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission,General
T50.A12A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter",General
T50.A12D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, subsequent encounter",General
V10.3XXS,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, sequela",General
V11.3XXS,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, sequela",General
V38.4XXS,"Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident, sequela",General
V40.4XXA,"Person boarding or alighting a car injured in collision with pedestrian or animal, initial encounter",General
V40.4XXD,"Person boarding or alighting a car injured in collision with pedestrian or animal, subsequent encounter",General
V43.41XA,"Person boarding or alighting a car injured in collision with sport utility vehicle, initial encounter",General
V43.41XD,"Person boarding or alighting a car injured in collision with sport utility vehicle, subsequent encounter",General
V43.42XA,"Person boarding or alighting a car injured in collision with other type car, initial encounter",General
V43.42XD,"Person boarding or alighting a car injured in collision with other type car, subsequent encounter",General
V43.43XA,"Person boarding or alighting a car injured in collision with pick-up truck, initial encounter",General
V43.43XD,"Person boarding or alighting a car injured in collision with pick-up truck, subsequent encounter",General
V46.4XXA,"Person boarding or alighting a car injured in collision with other nonmotor vehicle, initial encounter",General
V46.4XXD,"Person boarding or alighting a car injured in collision with other nonmotor vehicle, subsequent encounter",General
V47.4XXS,"Person boarding or alighting a car injured in collision with fixed or stationary object, sequela",General
V68.4XXA,"Person boarding or alighting a heavy transport vehicle injured in noncollision transport accident, initial encounter",General
V68.4XXD,"Person boarding or alighting a heavy transport vehicle injured in noncollision transport accident, subsequent encounter",General
V86.46XS,"Person injured while boarding or alighting from a dirt bike or motor/cross bike, sequela",General
W44.F0XS,"Objects of natural or organic material unspecified, entering into or through a natural orifice, sequela",General
W44.F9XS,"Other object of natural or organic material, entering into or through a natural orifice, sequela",General
G97.48,Accidental puncture and laceration of other nervous system organ or structure during a nervous system procedure,General
H95.41,Postprocedural hemorrhage of ear and mastoid process following a procedure on the ear and mastoid process,General
H95.51,Postprocedural hematoma of ear and mastoid process following a procedure on the ear and mastoid process,General
H95.53,Postprocedural seroma of ear and mastoid process following a procedure on the ear and mastoid process,General
I97.418,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other circulatory system procedure,General
V10.3XXA,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, initial encounter",General
V10.3XXD,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, subsequent encounter",General
V11.3XXA,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, initial encounter",General
V11.3XXD,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, subsequent encounter",General
V17.3XXS,"Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object, sequela",General
V31.4XXS,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, sequela",General
V38.4XXA,"Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident, initial encounter",General
V38.4XXD,"Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident, subsequent encounter",General
V44.4XXS,"Person boarding or alighting a car injured in collision with heavy transport vehicle or bus, sequela",General
V45.4XXS,"Person boarding or alighting a car injured in collision with railway train or railway vehicle, sequela",General
V47.4XXA,"Person boarding or alighting a car injured in collision with fixed or stationary object, initial encounter",General
V47.4XXD,"Person boarding or alighting a car injured in collision with fixed or stationary object, subsequent encounter",General
V58.4XXS,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, sequela",General
V60.4XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal, sequela",General
V66.4XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with other nonmotor vehicle, sequela",General
V86.46XA,"Person injured while boarding or alighting from a dirt bike or motor/cross bike, initial encounter",General
V86.46XD,"Person injured while boarding or alighting from a dirt bike or motor/cross bike, subsequent encounter",General
W44.F0XA,"Objects of natural or organic material unspecified, entering into or through a natural orifice, initial encounter",General
W44.F0XD,"Objects of natural or organic material unspecified, entering into or through a natural orifice, subsequent encounter",General
W44.F9XA,"Other object of natural or organic material, entering into or through a natural orifice, initial encounter",General
W44.F9XD,"Other object of natural or organic material, entering into or through a natural orifice, subsequent encounter",General
V14.3XXS,"Person boarding or alighting a pedal cycle injured in collision with heavy transport vehicle or bus, sequela",General
V15.3XXS,"Person boarding or alighting a pedal cycle injured in collision with railway train or railway vehicle, sequela",General
V17.3XXA,"Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object, initial encounter",General
V17.3XXD,"Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object, subsequent encounter",General
V30.4XXS,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal, sequela",General
V31.4XXA,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, initial encounter",General
V31.4XXD,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, subsequent encounter",General
